tick,seconds_in_round,lstm_delta_from_prev,rank,feature,base_feature,is_utility,feature_delta_scaled,coefficient,ridge_delta_contribution
53567,77.0,-0.1042989194393158,12,lag_15__bomb_events_last_5s,bomb_events_last_5s,False,-4.178802490234375,0.0005073068314231932,-0.00211993505046415
53567,77.0,-0.1042989194393158,13,lag_12__CT2__duck_amount,CT2__duck_amount,False,-3.8097944259643555,0.00044703501043841243,-0.0017031114909791811
53567,77.0,-0.1042989194393158,14,lag_00__CT3__duck_amount,CT3__duck_amount,False,-2.1490418910980225,-0.0007669146289117634,0.0016481316644272742
53567,77.0,-0.1042989194393158,15,lag_12__T2__duck_amount,T2__duck_amount,False,3.8233180046081543,-0.0004159574455115944,-0.0015903375905752942
53567,77.0,-0.1042989194393158,16,lag_11__CT2__is_walking,CT2__is_walking,False,2.360051155090332,-0.0006582046044059098,-0.0015533965369139424
53567,77.0,-0.1042989194393158,17,lag_13__CT4__is_walking,CT4__is_walking,False,2.384641170501709,-0.0006495995330624282,-0.0015490617908793525
53567,77.0,-0.1042989194393158,18,lag_01__CT_velocity_mean,CT_velocity_mean,False,-2.6493887901306152,0.0005774795426987112,-0.0015299678269557193
53567,77.0,-0.1042989194393158,19,lag_12__T2__is_walking,T2__is_walking,False,-2.2968344688415527,0.0006607055547647178,-0.001517531291938684
53567,77.0,-0.1042989194393158,20,lag_07__T5__has_bomb,T5__has_bomb,False,-2.928872585296631,0.0005084180156700313,-0.0014890915879668676
52031,53.0,-0.10003725998103619,1,lag_15__CT_place_MINI,CT_place_MINI,False,-6.131025314331055,0.0011918445816263556,-0.0073072293006994915
52031,53.0,-0.10003725998103619,2,lag_00__T_kills_last_3s,T_kills_last_3s,False,3.1681017875671387,-0.0019131250446662307,-0.006060974873846547
52031,53.0,-0.10003725998103619,3,lag_06__CT3__duck_amount,CT3__duck_amount,False,3.7208433151245117,-0.0014358018524944782,-0.0053423937246974695
52031,53.0,-0.10003725998103619,4,lag_00__kill_diff_last_3s,kill_diff_last_3s,False,-2.4069459438323975,0.0021159856114536524,-0.005093062984696084
52031,53.0,-0.10003725998103619,5,lag_00__CT1__duck_amount,CT1__duck_amount,False,3.514477014541626,-0.0013470468111336231,-0.004734165055240713
52031,53.0,-0.10003725998103619,6,lag_12__CT1__duck_amount,CT1__duck_amount,False,3.8154516220092773,-0.0012374611105769873,-0.004721473001524368
52031,53.0,-0.10003725998103619,7,lag_09__CT1__duck_amount,CT1__duck_amount,False,3.8154516220092773,-0.0011126886820420623,-0.004245409836688752
52031,53.0,-0.10003725998103619,8,lag_00__T_shots_fired_sum,T_shots_fired_sum,False,3.748685359954834,-0.0011220535961911082,-0.0042062258891262805
52031,53.0,-0.10003725998103619,9,lag_06__CT_duck_amount_mean,CT_duck_amount_mean,False,2.994267225265503,-0.0012527735671028495,-0.0037511388326550155
52031,53.0,-0.10003725998103619,10,lag_00__T_damage_last_5s,T_damage_last_5s,False,2.3978044986724854,-0.0014597283443436027,-0.0035001431909068292
52031,53.0,-0.10003725998103619,11,lag_00__damage_diff_last_5s,damage_diff_last_5s,False,-2.255979061126709,0.0014680444728583097,-0.003311877591571144
52031,53.0,-0.10003725998103619,12,lag_11__CT1__duck_amount,CT1__duck_amount,False,-2.97709321975708,-0.0009883010061457753,0.002942264224475688
52031,53.0,-0.10003725998103619,13,lag_00__CT1__alive,CT1__alive,False,-2.44288969039917,0.001038467395119369,-0.002536861293352788
52031,53.0,-0.10003725998103619,14,lag_07__CT4__is_walking,CT4__is_walking,False,2.384641170501709,-0.0010449490509927273,-0.002491828528073947
52031,53.0,-0.10003725998103619,15,lag_00__CT1__hp,CT1__hp,False,-2.4090940952301025,0.0010241008130833507,-0.002467155221719447
52031,53.0,-0.10003725998103619,16,lag_14__T5__duck_amount,T5__duck_amount,False,-3.7970333099365234,0.0006400246638804674,-0.002430194967935062
52031,53.0,-0.10003725998103619,17,lag_06__CT2__duck_amount,CT2__duck_amount,False,3.8097944259643555,-0.0006297823856584728,-0.0023993414224521836
52031,53.0,-0.10003725998103619,18,lag_05__CT2__duck_amount,CT2__duck_amount,False,-3.8097944259643555,-0.0005380239454098046,0.002049760628257624
52031,53.0,-0.10003725998103619,19,lag_13__CT1__is_walking,CT1__is_walking,False,-2.3343825340270996,0.0008719530305825174,-0.002035471925083826
52031,53.0,-0.10003725998103619,20,lag_14__CT2__is_walking,CT2__is_walking,False,2.360051155090332,-0.0007821843028068542,-0.0018459949673328424
