feature,coefficient,abs_coefficient,base_feature,is_utility,utility_family
lag_03__CT_place_SQUEAKY,7.771194759698119e-06,7.771194759698119e-06,CT_place_SQUEAKY,False,non_utility
lag_15__CT_place_BACKOFA,7.770638148940634e-06,7.770638148940634e-06,CT_place_BACKOFA,False,non_utility
lag_15__T_cash_spent_round_sum,7.758908395771869e-06,7.758908395771869e-06,T_cash_spent_round_sum,False,non_utility
lag_03__T_place_BALCONY,7.75825265009189e-06,7.75825265009189e-06,T_place_BALCONY,False,non_utility
lag_05__T_he_last_5s,7.74107775214361e-06,7.74107775214361e-06,T_he_last_5s,True,non_utility
lag_01__CT_place_LOWERTUNNEL,7.730778634140734e-06,7.730778634140734e-06,CT_place_LOWERTUNNEL,False,non_utility
lag_01__CT_defusing_count,7.730172910669353e-06,7.730172910669353e-06,CT_defusing_count,False,non_utility
lag_12__T_he_last_5s,7.726181138423271e-06,7.726181138423271e-06,T_he_last_5s,True,non_utility
lag_01__CT_place_QUAD,7.722116606601048e-06,7.722116606601048e-06,CT_place_QUAD,False,non_utility
lag_15__CT_place_SQUEAKY,7.716547770542093e-06,7.716547770542093e-06,CT_place_SQUEAKY,False,non_utility
